Id,Author,Date,URL
1,Stephen Collinson,"April 29, 2024",https://edition.cnn.com/2024/04/28/politics/biden-trump-nostalgia/index.html
2, John Towfighi,"April 28, 2024",https://edition.cnn.com/2023/10/11/business/harvard-israel-hamas-ceos-students/index.html
3,Andrew Carey and Olga Voitovych,"April 28, 2024",https://edition.cnn.com/2024/04/28/europe/russia-daily-gains-ukraine-military-criticism-intl/index.html
4,Andrew Carey and Olga Voitovych,"April 28, 2024",https://edition.cnn.com/2024/03/13/travel/australia-clive-palmer-relaunches-titanic-two-intl-hnk/index.html
5,Silvia Marchetti,"April 28, 2024",https://edition.cnn.com/travel/italy-house-bought-24-hours-latronico/index.html
6,"Lilit Marcus,","April 26, 2024",https://edition.cnn.com/travel/japan-mount-fuji-view-barrier-tourists-intl-hnk/index.html
7,"Katie Hunt,","April 27, 2024",https://edition.cnn.com/2024/04/27/world/avars-ancient-dna-science-newsletter-wt-scn/index.html
8,Aimee Lewis,"April 28, 2024",https://edition.cnn.com/2024/04/28/sport/lionel-messi-mls-record-spt-intl/index.html
9,Thomas Schlachter,"April 27, 2024",https://edition.cnn.com/2024/04/27/sport/emmanuel-wanyonyi-road-mile-world-record-spt-intl/index.html
10,Bob,"April 25, 2024",https://edition.cnn.com/travel/what-its-really-like-to-live-in-macao-intl-hnk/index.html
11,Peter,"Jan 22, 2025",https://edition.cnn.com/2024/01/22/us/joliet-chicago-house-killings-suspect-manhunt/index.html
